incident_id,attack_date,attack_type,target_location,region,latitude,longitude
1,2026-02-28,Ballistic Missiles + Drones,Prince Sultan Air Base + Riyadh Airport,Riyadh,24.7136,46.6753
2,2026-03-02,Drones,Ras Tanura Oil Refinery,Eastern Region,26.4207,50.0888
3,2026-03-04,Drones,Ras Tanura Oil Refinery,Eastern Region,26.4207,50.0888
4,2026-03-05,Cruise Missiles,East of Kharj City,Al-Kharj,24.1503,47.3346
5,2026-03-05,Drones,East of Kharj Governorate,Al-Kharj,24.1503,47.3346
6,2026-03-05,Drone,East of Al-Jouf Region,Al-Jouf,29.9697,40.2064
7,2026-03-06,Ballistic Missiles,Prince Sultan Air Base,Al-Kharj,24.1503,47.3346
8,2026-03-06,Drone,Eastern Region,Eastern Region,26.4207,50.0888
9,2026-03-06,Drone,East of Kharj Governorate,Al-Kharj,24.1503,47.3346
10,2026-03-06,Cruise Missile,East of Kharj Governorate,Al-Kharj,24.1503,47.3346
11,2026-03-07,Ballistic Missiles,Riyadh Region,Riyadh,24.7136,46.6753
12,2026-03-07,Drones,Eastern Region,Eastern Region,26.4207,50.0888
13,2026-03-07,Drone,Embassy District – Riyadh,Riyadh,24.7136,46.6753
14,2026-03-07,Drones,Empty Quarter – Shaybah Field,Eastern Region,26.4207,50.0888
15,2026-03-07,Drones,Eastern Region,Eastern Region,26.4207,50.0888
16,2026-03-07,Drone,Empty Quarter – Shaybah Field,Eastern Region,26.4207,50.0888
17,2026-03-07,Drones,Eastern Region,Eastern Region,26.4207,50.0888
18,2026-03-07,Drones,Eastern Region,Eastern Region,26.4207,50.0888
19,2026-03-07,Ballistic Missiles,Riyadh Region,Riyadh,24.7136,46.6753
20,2026-03-07,Drones,Hafr Al-Batin,Hafr Al-Batin,28.4328,45.9708
21,2026-03-07,Drones,East of Kharj Governorate,Al-Kharj,24.1503,47.3346
22,2026-03-07,Drones,Empty Quarter – Shaybah Field,Eastern Region,26.4207,50.0888
23,2026-03-07,Drones,Eastern Region,Eastern Region,26.4207,50.0888
24,2026-03-07,Drones,Eastern Region,Eastern Region,26.4207,50.0888
25,2026-03-07,Drones,Riyadh + Eastern Region,Riyadh + Eastern Region,24.7136,46.6753
26,2026-03-07,Ballistic Missiles,Prince Sultan Air Base,Al-Kharj,24.1503,47.3346
27,2026-03-07,Drones,Eastern Region,Eastern Region,26.4207,50.0888
28,2026-03-07,Drone,Eastern Region,Eastern Region,26.4207,50.0888
29,2026-03-07,Drone,Eastern Region,Eastern Region,26.4207,50.0888
30,2026-03-08,Ballistic Missiles,Prince Sultan Air Base,Al-Kharj,24.1503,47.3346
31,2026-03-08,Ballistic Missile,Prince Sultan Air Base,Al-Kharj,24.1503,47.3346
32,2026-03-08,Drones,North of Riyadh City,Riyadh,24.7136,46.6753
33,2026-03-08,Drone,Empty Quarter – Shaybah Field,Eastern Region,26.4207,50.0888
34,2026-03-08,Drone,Empty Quarter – Shaybah Field,Eastern Region,26.4207,50.0888
